id,first_name,last_name,middle_name,sex,dob,ssn,region
1,        A,   MCMARTIN,         H,2,19770918,859004679,
2,        A,     WYKOFF,,1,19591004,468007837,
3,        P,   MARIANNE, RODEHAVER,1,19611111,530007259,
4,       ED,     LELAND,,1,19920811,79001028,
5,       TY,    BOLSTER,      CARY,1,19080609,993000446,
6,      DON,     HESTER,,1,19610728,302000640,
7,      FOY,     LENNOX,,1,19830415,606003214,
8,      LEW,     BOWLES,      WASH,1,19050901,977003684,
9,      LUE,   KLAMBERT, APPLEGATE,2,19710323,141592653,
10,      MAY,      STILL,  ROSEMARY,2,19530612,800000917,
11,      VON,    BUNDICK,,2,19721221,56003987,
12,     ARON,   REDERICK,,1,19650207,111111111,
13,     BART, HOLLENBECK,  DOMINICK,1,19680704,999999999,
14,     BURT,     STACEY,         U,1,19650704,255008548,
15,     DANA,   ROBERSON,,1,19361024,872002988,
16,     EVAN,    PLAXTON,    MOISES,1,19220511,386005499,
17,     GIGI,       RUGG,    ARLENE,2,19190708,639000714,
18,     GINA,   MCELROYS,      KEYS,2,19190410,271828182,
19,     KIRA,    FONDREN,,2,19741203,279000205,
20,     LIDA,      CANDY,,2,19930928,767004548,
21,     LIDA,     SELLON,     ZELMA,2,19010918,671446,
22,     META,    CLAUNCH,,2,19100813,927001407,
23,     ORAL,       HAWS,NOONKESTER,1,19930306,72436,
24,     RORY,   DOLLIVER,,1,19240617,976002725,
25,    ARLIE,     CROKER,    PENROD,1,19000923,566008533,
26,    BRODY,      COGAN,    TRAVIS,1,19480113,954009994,
27,    CAYLA,   GONZALEZ,     HAWSE,2,99999999,276004557,
28,    CELIA, HUFSTEDLER,,2,19840805,869007506,
29,    CLETA, SPOONEMORE,,2,19681217,11008407,
30,    DELMA,     MOLLOY,    CORLEY,2,19780513,114000158,
31,    DEVIN,  KINGSLAND,    LOFTIN,2,19130705,734000731,
32,    ESTER,       HIPP, MAGDALENA,2,19561005,392003334,
33,    GEARY,       METZ,         C,1,19900317,908000344,
34,    GLYNN,  THOMASSON, STEINBACH,1,19411222,442008063,
35,    HAZLE,     BONNEY,     TESSA,2,19420223,978009040,
36,    JAKOB,    BUSHONG,         B,1,19411127,829005327,
37,    MARIA,    DEARDEN,  MARJORIE,2,19260515,207005326,
38,    NELLA,     SUTTIE,    EUNICE,2,19720509,360000620,
39,    REGIS, WELLINGTON,         Z,1,19250315,919008707,
40,    RILEY,   FLANDERS,,1,19930927,168728,
41,    RUBIE,    HUNT*ING, COLQUHOUN,2,19389999,247000537,
42,    SAMMY,        ROI,     BOYLE,1,19800916,673001541,
43,    STACY,       MAYS,   BRITTEN,2,19630804,377000633,
44,    TRUDY,     ENDERS,         F,2,19820127,817188,
45,    URBAN,    COLLETT,         Y,1,19630514,983009391,
46,    ZELLA,WHITTINGTON,   SCHABLE,2,19220201,256003137,
47,   ALEXUS,    STEWARD,     ELIZA,2,19400210,935602465,
48,   ANDREW,  STENH_OUSE,  TIMMOTHY,1,19600214,919131,
49,   BENITO,    DEVRIES,         W,1,19080601,713616,
50,   BEULAH,     LANCON,         T,2,19390614,907002128,
51,   CELINE,  BANNERJEE,,2,19440927,928245777,
52,   CHANCE,  CROCKFORD,     ALLEN,1,19530720,736001927,
53,   CHARLA,      SHOOK,         V,2,19531212,107000901,
54,   COLTON,   VANROOIJ,    LENNIE,1,19381115,374133,
55,   DAKOTA,       NOLF,   STEPTOE,1,19071210,168001590,
56,   DARRON,    DOWDELL,    NOLAND,1,19520425,0,
57,   DAVINA,   GANNAWAY,   LORENZA,2,19391120,258005679,
58,   GEARLD,   COLVILLE,,1,19200416,369008081,
59,   MYRIAM,      KL0TZ,  LASHONDA,2,19850519,253009663,
60,   OLIVIA,         HY,,2,19001209,568004427,
61,   PATTIE,  DIETERICH,,2,19040325,520001535,
62,   PEYTON,RENNENSTUHL,         X,1,19610621,756001625,
63,   RAMIRO,    RIDGELL,      VERN,1,19661224,944000834,
64,   ROGERS,    MUELLER,,1,19670902,41004623,
65,   SABINA,     HOWLEY,   RASCHKE,2,19431215,219517111,
66,   TYRONE,    WINFREY, ETCHINSON,1,19270519,298001722,
67,   VERNIE,      PEELE, ZECHARIAH,1,19821209,376000005,
68,  ALLISON,  SAMUELSON,    LAUREL,2,19780918,225009063,
69,  ANNETTE,     REAGAN,    JEWETT,2,19150316,470001453,
70,  ANTHONY,  THOMASTON,,1,19510307,623000351,
71,  DANIELA,      DREES,   SUELLEN,2,19040301,152001975,
72,  DONOVAN,      HUTCH,,1,19421004,2000873,
73,  DORATHY,     COLLUM,,2,19800802,422003272,
74,  EVELINE,   COLLMORE,         R,2,19420410,889008879,
75,  FLOSSIE,  CATCHINGS,      NOEL,2,19930303,359009629,
76,  FORREST,   LANKFORD,,1,19780105,736003244,
77,  LINDSAY,    ROL1INS,,1,19370128,549001024,
78,  MARGERY,   GULLI-FER,         Z,2,19560123,707004658,
79,  MELONIE,     PURPLE,    CHAVIS,2,19571114,137003031,
80,  MELVINA,    SUTTLES,,2,19030724,28005932,
81,  NATASHA,      EXMAN,     NORTH,2,19600810,775535,
82,  RAPHAEL,   VANDOVER,    BRYSON,1,19840420,966005328,
83,  SHERRON,    STETLER,    DENSON,2,19930428,48003203,
84,  WALLACE,    GROUNDS,    ABSTON,1,19720612,759000817,
